O*NET-SOC Code,Title,Description,Skills,Job Zone,Date,Domain Source,TFIDF_Score,Semantic_Score,Female_Representation,Work_Life_Balance,Remote_Option,Base_Score,Final_Score
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers","Install, service, adjust, or repair coin, vending, or amusement machines including video games, juke boxes, pinball machines, or slot machines.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,07/2017,Analyst,0.0,0.35974503,0.9922611545600162,0.8453031540240492,Yes,0.14389801025390625,0.28538928341111036
51-3023.00,Slaughterers and Meat Packers,"Perform nonroutine or precision functions involving the preparation of large portions of meat. Work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats. Work typically occurs in slaughtering, meat packing, or wholesale establishments.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,07/2017,Analyst,0.0,0.35974503,0.9914454417118679,0.8202079879837069,No,0.14389801025390625,0.28405295382427836
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation","Inspect and monitor transportation equipment, vehicles, or systems to ensure compliance with regulations and safety standards.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,07/2015,Analyst,0.0,0.35974503,0.9576046124992141,0.8755373165689084,Yes,0.14389801025390625,0.2834353373322731
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand","Manually move freight, stock, luggage, or other materials, or perform other general labor. Includes all manual laborers not elsewhere classified.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,08/2024,Analyst,0.0,0.35974503,0.9827819236817974,0.8039514464215032,Yes,0.14389801025390625,0.2823737749431612
17-3027.00,Mechanical Engineering Technologists and Technicians,"Apply theory and principles of mechanical engineering to modify, develop, test, or adjust machinery and equipment under direction of engineering staff or physical scientists.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,08/2022,Analyst,0.0,0.35974503,0.9722127394839584,0.8196204564955749,Yes,0.14389801025390625,0.2821003070270809
47-2152.00,"Plumbers, Pipefitters, and Steamfitters","Assemble, install, alter, and repair pipelines or pipe systems that carry water, steam, air, or other liquids or gases. May install heating and cooling equipment and mechanical control systems. Includes sprinkler fitters.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,08/2022,Analyst,0.0,0.35974503,0.9483324915241664,0.8575720888241132,Yes,0.14389801025390625,0.28160986384752856
43-9031.00,Desktop Publishers,Format typescript and graphic elements using computer software to produce publication-ready material.,"Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,08/2021,Analyst,0.0,0.35974503,0.9682143585974805,0.8175805194070354,No,0.14389801025390625,0.28159847208400607
53-5021.00,"Captains, Mates, and Pilots of Water Vessels","Command or supervise operations of ships and water vessels, such as tugboats and ferryboats. Required to hold license issued by U.S. Coast Guard.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,08/2022,Analyst,0.0,0.35974503,0.9305340228054957,0.891981885443527,Yes,0.14389801025390625,0.2815505068066322
47-2111.00,Electricians,"Install, maintain, and repair electrical wiring, equipment, and fixtures. Ensure that work is in accordance with relevant codes. May install or service street lights, intercom systems, or electrical control systems.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,08/2022,Analyst,0.0,0.35974503,0.9301158242180059,0.8863976586846389,No,0.14389801025390625,0.2812294756099388
49-9061.00,Camera and Photographic Equipment Repairers,"Repair and adjust cameras and photographic equipment, including commercial video and motion picture camera equipment.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,07/2015,Analyst,0.0,0.35974503,0.9850855995086498,0.7759818969955847,Yes,0.14389801025390625,0.28120566505455047
